name,category,alcoholic,ingredients,desc
Freddy Kruger,Shot,Alcoholic,"['Jägermeister', 'Sambuca', 'Vodka']","""Unleash your nightmares with Freddy Kruger, a dark and sinister blend of Jägermeister, Sambuca, and Vodka, guaranteed to haunt your taste buds."""
Funk and Soul,Cocktail,Alcoholic,"['Rum', 'Apricot Nectar', 'Pomegranate juice', 'lemon', 'Soda Water']","""Get down with Funk and Soul, a vibrant mix of rum, apricot nectar, and pomegranate juice, squeezed with a hint of lemon and topped with soda water, creating a refreshing harmony of flavors that'll keep you grooving."""
Fuzzy Asshole,Coffee / Tea,Alcoholic,"['Coffee', 'Peach schnapps']","""Fuzzy Asshole: A bold, cheeky mix of rich coffee and sweet peach schnapps, guaranteed to kickstart your night with a mischievous twist."""
French Martini,Cocktail,Alcoholic,"['Vodka', 'Raspberry Liqueur', 'pineapple juice']","Indulge in the French Martini, a sweet and sophisticated blend of vodka, raspberry liqueur, and pineapple juice, combining tart and tropical flavors in a luxurious twist."
French Negroni,Cocktail,Alcoholic,"['Gin', 'Lillet', 'Sweet Vermouth', 'Orange Peel']","""Indulge in the French Negroni, a sophisticated twist on the classic, blending gin, Lillet, and sweet vermouth, garnished with a delicate orange peel, evoking the elegance of Paris in every sip."""
Fahrenheit 5000,Shot,Alcoholic,"['Firewater', 'Absolut Peppar', 'Tabasco sauce']","""Fahrenheit 5000: Ignite your senses with this blazing shot, combining fiery Firewater, spicy Absolut Peppar, and a scorching kick of Tabasco sauce - not for the faint of heart."""
Flying Dutchman,Ordinary Drink,Alcoholic,"['Gin', 'Triple sec']","""Set sail with the Flying Dutchman, a crisp and mysterious blend of gin and triple sec, evoking the legend of the ghostly ship in every refreshing sip."""
Frozen Daiquiri,Ordinary Drink,Alcoholic,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Cherry', 'Ice']","""Indulge in the Frozen Daiquiri, a refreshing blend of light rum, triple sec, and zesty lime juice, swirled with sugar and garnished with a cherry, all frozen to perfection."""
Fruit Flip-Flop,Other / Unknown,Non alcoholic,"['Yoghurt', 'Fruit juice']","""Indulge in the Fruit Flip-Flop, a refreshing blend of creamy yoghurt and fruity juice, perfectly mixed to flip your taste buds into a delightful spin."""
Flying Scotchman,Ordinary Drink,Alcoholic,"['Scotch', 'Sweet Vermouth', 'Bitters', 'Sugar syrup']","""Indulge in the Flying Scotchman, a rich and velvety blend of smoky Scotch, sweet Vermouth, and subtle bitters, balanced by a hint of sugar syrup, evoking the thrill of a timeless journey."""
French Connection,Ordinary Drink,Alcoholic,"['Cognac', 'Amaretto']","""Indulge in the French Connection, a sophisticated blend of rich Cognac and sweet Amaretto, crafting a velvety smooth and subtly nutty cocktail experience."""
Flaming Dr. Pepper,Shot,Alcoholic,"['Amaretto', 'Vodka', '151 proof rum', 'Dr. Pepper', 'Beer']","Ignite your senses with the Flaming Dr. Pepper, a daring mix of Amaretto, Vodka, and 151 proof rum, topped with Dr. Pepper and a splash of beer, set ablaze for a truly fiery experience."
Flaming Lamborghini,Cocktail,Alcoholic,"['Kahlua', 'Sambuca', 'Blue Curacao', 'Baileys irish cream']","""Indulge in the Flaming Lamborghini, a fiery fusion of Kahlua, Sambuca, Blue Curacao, and Baileys Irish Cream, set ablaze to ignite your senses."""
Flander's Flake-Out,Ordinary Drink,Alcoholic,"['Sambuca', 'Sarsaparilla']","Flander's Flake-Out: A daring mix of Sambuca and Sarsaparilla, blending aniseed spice with root beer sweetness, resulting in a uniquely bold and mysterious shot."
Frozen Mint Daiquiri,Ordinary Drink,Alcoholic,"['Light rum', 'Lime juice', 'Mint', 'Sugar']","""Refresh with our Frozen Mint Daiquiri, a cool blend of light rum, zesty lime juice, and fragrant mint, sweetened to perfection."""
Frozen Pineapple Daiquiri,Ordinary Drink,Alcoholic,"['Light rum', 'Pineapple', 'Lime juice', 'Sugar']","""Escape to a tropical paradise with our Frozen Pineapple Daiquiri, a refreshing blend of light rum, juicy pineapple, zesty lime juice, and a touch of sweetness, frozen to perfection."""
GG,Ordinary Drink,Optional alcohol,"['Galliano', 'Ginger ale', 'Ice']","GG: A refreshing twist of Italian flair, combining sweet Galliano liqueur with crisp ginger ale, served chilled over ice."
Gimlet,Cocktail,Alcoholic,"['Gin', 'Lime Juice', 'Sugar Syrup', 'Lime']","""Indulge in the classic Gimlet, a refreshing blend of gin, zesty lime juice, and subtle sugar syrup, garnished with a lime wedge, perfect for a sophisticated sip."""
Godchild,Ordinary Drink,Alcoholic,"['Vodka', 'Amaretto', 'Heavy cream']","Indulge in the Godchild, a rich and velvety blend of vodka, amaretto, and heavy cream, creating a decadent and sweetly seductive cocktail experience."
Gin Fizz,Ordinary Drink,Alcoholic,"['Gin', 'Lemon', 'Powdered sugar', 'Carbonated water']","""Invigorate your senses with the Gin Fizz, a refreshing blend of crisp gin, zesty lemon, and touch of sweetness, all fizzing with carbonated water."""
Gin Sour,Ordinary Drink,Alcoholic,"['Gin', 'Lemon juice', 'Sugar', 'Orange', 'Maraschino cherry']","""Tart and tangy, the Gin Sour blends crisp gin with zesty lemon juice and a hint of sweetness, garnished with a vibrant orange twist and a luscious maraschino cherry."""
Gagliardo,Cocktail,Alcoholic,"['Peach Vodka', 'Lemon juice', 'Galliano', 'Sirup of roses']","Gagliardo: A sweet and tangy fusion of peach vodka, lemon juice, and Galliano, subtly kissed with rose syrup, creating a floral and fruity escape."
Godmother,Ordinary Drink,Alcoholic,"['Vodka', 'Amaretto']","""Indulge in the Godmother, a sophisticated blend of vodka and amaretto, combining crispness with a hint of almond sweetness."""
Godfather,Ordinary Drink,Alcoholic,"['Scotch', 'Amaretto']","""Indulge in the Godfather, a rich and velvety blend of smoky Scotch and sweet Amaretto, perfect for savoring a sophisticated night."""
Gluehwein,Punch / Party Drink,Optional alcohol,"['Red wine', 'Water', 'Sugar', 'Cinnamon', 'Cloves', 'Lemon peel']","Warm up with Gluehwein, a spicy and sweet mulled red wine infused with cinnamon, cloves, and a hint of lemon, perfect for cozy nights. (Optional: serve without alcohol for a delicious virgin version)"
Gin Tonic,Cocktail,Alcoholic,"['Gin', 'Tonic Water', 'Lemon Peel', 'Ice']","""Crisp gin meets refreshing tonic water, garnished with a twist of citrusy lemon peel, served chilled over ice for a classic and revitalizing cocktail."""
Gin Toddy,Ordinary Drink,Alcoholic,"['Gin', 'Water', 'Powdered sugar', 'Lemon peel']","Warm up with our soothing Gin Toddy, a classic blend of gin, water, and powdered sugar, garnished with a zesty lemon peel, perfect for a cozy night in."
Gin Smash,Ordinary Drink,Alcoholic,"['Gin', 'Carbonated water', 'Sugar', 'Mint', 'Orange', 'Cherry']","""Revitalize with our refreshing Gin Smash, a zesty blend of gin, mint, and citrus, sweetened with a touch of sugar and fizzed with carbonated water, garnished with juicy orange and cherry."""
Gin Daisy,Ordinary Drink,Alcoholic,"['Gin', 'Lemon juice', 'Sugar', 'Grenadine', 'Maraschino cherry', 'Orange']","""Indulge in the Gin Daisy, a vibrant mix of gin, lemon juice, and sugar, sweetened with grenadine and garnished with a maraschino cherry, finished with a squeeze of fresh orange."""
Gin Lemon,Cocktail,Alcoholic,"['Gin', 'Lemon Juice', 'Lemon Peel', 'Ice']","""Invigorate your senses with Gin Lemon, a refreshing blend of crisp gin, zesty lemon juice, and a hint of citrusy lemon peel, served chilled over ice."""
Gin Sling,Ordinary Drink,Alcoholic,"['Gin', 'Lemon', 'Powdered sugar', 'Water', 'Orange peel']","""Indulge in the classic Gin Sling, a refreshing blend of crisp gin, zesty lemon, and subtle sweetness, garnished with a twist of orange peel."""
Greyhound,Cocktail,Alcoholic,"['Vodka', 'Grapefruit Juice']","""Greyhound: A crisp, tangy blend of vodka and grapefruit juice, perfect for a refreshing twist on a classic cocktail."""
Gin Rickey,Cocktail,Alcoholic,"['Gin', 'Grenadine', 'lemon', 'Soda Water', 'Lime']","""Experience the crisp Gin Rickey, a refreshing blend of gin, a hint of sweet grenadine, and a squeeze of zesty lemon and lime, all topped with bubbly soda water."""
Gin Squirt,Ordinary Drink,Alcoholic,"['Gin', 'Grenadine', 'Powdered sugar', 'Pineapple', 'Strawberries', 'Carbonated water']","Indulge in the Gin Squirt, a refreshing blend of gin, sweet grenadine, and fruity pineapple and strawberries, topped with a hint of powdered sugar and a fizzy twist of carbonated water."
Grand Blue,Ordinary Drink,Alcoholic,"['Malibu rum', 'Peach schnapps', 'Blue Curacao', 'Sweet and sour']","""Escape to the ocean with Grand Blue, a tropical blend of Malibu rum, peach schnapps, and Blue Curacao, swirled with sweet and sour for a refreshing twist on a classic cocktail."""
Gin Cooler,Ordinary Drink,Alcoholic,"['Gin', 'Carbonated water', 'Powdered sugar', 'Orange spiral', 'Lemon peel']","""Refresh with our Gin Cooler, a zesty blend of gin, carbonated water, and a touch of sweetness, garnished with a vibrant orange spiral and lemon peel."""
Gin Swizzle,Ordinary Drink,Alcoholic,"['Lime juice', 'Sugar', 'Gin', 'Bitters', 'Club soda']","""Revitalize with the Gin Swizzle, a refreshing blend of zesty lime juice, sweet sugar, and crisp gin, elevated by a hint of bitters and a splash of fizzy club soda."""
Grass Skirt,Ordinary Drink,Alcoholic,"['Gin', 'Triple sec', 'Pineapple juice', 'Grenadine', 'Pineapple']","""Escape to a tropical paradise with the Grass Skirt, a sweet and tangy blend of gin, triple sec, pineapple juice, and grenadine, garnished with a fresh pineapple wedge."""
Grasshopper,Ordinary Drink,Alcoholic,"['Green Creme de Menthe', 'Creme de Cacao', 'Light cream']","""Indulge in the Grasshopper, a refreshing blend of Green Creme de Menthe, rich Creme de Cacao, and velvety light cream, creating a cool, minty, and decadently chocolatey cocktail experience."""
Grim Reaper,Ordinary Drink,Alcoholic,"['Kahlua', '151 proof rum', 'Grenadine']","""Meet the Grim Reaper, a dark and mysterious blend of Kahlua, 151 proof rum, and sweet Grenadine, guaranteed to collect your senses."""
Gin and Soda,Cocktail,Alcoholic,"['Gin', 'Soda Water', 'Lime']","""Refresh with our Gin and Soda, a crisp blend of gin, soda water, and a squeeze of lime, perfect for a light and revitalizing drink."""
H.D.,Coffee / Tea,Alcoholic,"['Whisky', 'Baileys irish cream', 'Coffee']","Introducing the H.D.: a rich, velvety blend of smooth Whisky, decadent Baileys Irish Cream, and bold Coffee, crafted to warm your senses and leave you wanting more."
Honey Bee,Cocktail,Alcoholic,"['White Rum', 'Honey', 'Lemon Juice']","""Indulge in the Honey Bee, a sweet and tangy blend of White Rum, golden Honey, and zesty Lemon Juice, buzzing with refreshing flavor."""
Hot Toddy,Cocktail,Alcoholic,"['Whiskey', 'Honey', 'Cinnamon', 'lemon', 'Cloves']","Warm up with our soothing Hot Toddy, a comforting blend of whiskey, honey, cinnamon, lemon, and cloves, perfect for a cozy night in."
Herbal flame,Coffee / Tea,Alcoholic,"['Hot Damn', 'Tea']","""Herbal Flame: Ignite your senses with this spicy twist, blending the bold kick of Hot Damn with soothing tea, creating a smoldering fusion that will leave you craving more."""
Horse's Neck,Ordinary Drink,Alcoholic,"['Lemon peel', 'Brandy', 'Ginger ale', 'Bitters']","Horse's Neck: A refreshing twist on classic brandy, infused with zesty lemon peel and a hint of bitters, topped with crisp ginger ale for a revitalizing sip."
Happy Skipper,Ordinary Drink,Alcoholic,"['Spiced rum', 'Ginger ale', 'Lime', 'Ice']","""Set sail with the Happy Skipper, a refreshing blend of spiced rum, zesty ginger ale, and a squeeze of lime, served chilled over ice."""
Hunter's Moon,Cocktail,Alcoholic,"['Vermouth', 'Maraschino Cherry', 'Sugar Syrup', 'Lemonade', 'Blackberries']","Hunter's Moon: A mystical blend of Vermouth, sweetened with sugar syrup, and infused with the tartness of lemonade and blackberries, garnished with a luscious Maraschino Cherry."
Halloween Punch,Punch / Party Drink,Alcoholic,"['Cherry Juice', 'Orange Peel', 'Red Chili Flakes', 'Cloves', 'Ginger', 'Vodka']","""Indulge in the spooky Halloween Punch, a wicked blend of cherry juice, orange zest, and warm spices, ignited by red chili flakes and a kick of vodka, guaranteed to cast a spell on your taste buds."""
Havana Cocktail,Ordinary Drink,Alcoholic,"['Light rum', 'Pineapple juice', 'Lemon juice']","""Escape to the tropics with the Havana Cocktail, a refreshing blend of light rum, pineapple juice, and a squeeze of lemon, evoking the vibrant spirit of Cuba in every sip."""
Holloween Punch,Punch / Party Drink,Non alcoholic,"['Grape juice', 'Carbonated soft drink', 'Sherbet', 'Sherbet']","""Indulge in the spooky-sweet Holloween Punch, a fizzy blend of grape juice and carbonated soft drink, chilled to perfection with a splash of fruity sherbet, served with an extra scoop for an eerie twist."""
Homemade Kahlua,Homemade Liqueur,Alcoholic,"['Sugar', 'Corn syrup', 'Coffee', 'Vanilla extract', 'Water', 'Vodka']","""Indulge in our rich Homemade Kahlua, a velvety blend of deep coffee, sweet sugar, and hints of vanilla, infused with a smooth vodka kick."""
Hot Creamy Bush,Coffee / Tea,Alcoholic,"['Irish whiskey', 'Baileys irish cream', 'Coffee']","""Indulge in the Hot Creamy Bush, a rich and velvety blend of Irish whiskey, Baileys Irish cream, and bold coffee, warming your senses with every sip."""
Harvey Wallbanger,Ordinary Drink,Alcoholic,"['Vodka', 'Galliano', 'Orange juice']","""Indulge in the Harvey Wallbanger, a vibrant mix of vodka, sweet Galliano, and freshly squeezed orange juice, creating a refreshing and citrusy twist on a classic cocktail."""
Hawaiian Cocktail,Ordinary Drink,Alcoholic,"['Gin', 'Triple sec', 'Pineapple juice']","""Escape to the islands with our Hawaiian Cocktail, a refreshing blend of gin, triple sec, and pineapple juice, perfectly balancing sweet and tangy flavors."""
Hemingway Special,Ordinary Drink,Alcoholic,"['Rum', 'Grapefruit Juice', 'Maraschino Liqueur', 'Lime Juice']","""Hemingway Special: A literary twist on the classic Daiquiri, blending rich rum, tangy grapefruit, and subtle maraschino, finished with a squeeze of lime, evoking the bold spirit of its namesake."""
Highland Fling Cocktail,Ordinary Drink,Alcoholic,"['Scotch', 'Sweet Vermouth', 'Orange bitters', 'Olive']","""Indulge in the Highland Fling Cocktail, a rich blend of smoky Scotch, velvety Sweet Vermouth, and a hint of citrusy Orange bitters, garnished with a savory Olive."""
Hot Chocolate to Die for,Cocoa,Non alcoholic,"['Chocolate', 'Butter', 'Vanilla extract', 'Half-and-half', 'Marshmallows']","""Indulge in our decadent 'Hot Chocolate to Die for', a rich, velvety blend of dark chocolate, creamy half-and-half, and sweet marshmallows, infused with hints of vanilla and a touch of buttery goodness."""
Ipamena,Ordinary Drink,Non alcoholic,"['Lime', 'Brown sugar', 'Passion fruit juice', 'Ginger ale', 'Ice']","Ipamena: A refreshing twist of tropical passion fruit juice, zesty lime, and hint of brown sugar, fizzing with ginger ale, served chilled over ice."
Ice Pick,Ordinary Drink,Alcoholic,"['Vodka', 'Iced tea', 'Lemon juice']","Ice Pick: A refreshing twist on classic flavors, combining chilled vodka, soothing iced tea, and a squeeze of zesty lemon juice, perfect for a sharp pick-me-up."
Iced Coffee,Coffee / Tea,Non alcoholic,"['Coffee', 'Sugar', 'Water', 'Milk']","""Revitalize with our refreshing Iced Coffee, a smooth blend of rich coffee, creamy milk, and a touch of sweetness, served chilled to perfection."""
Irish Cream,Homemade Liqueur,Alcoholic,"['Scotch', 'Half-and-half', 'Condensed milk', 'Coconut syrup', 'Chocolate syrup']","Indulge in the rich Irish Cream, a velvety blend of Scotch, half-and-half, and sweet condensed milk, infused with hints of coconut and decadent chocolate."
Irish Coffee,Coffee / Tea,Alcoholic,"['Irish whiskey', 'Coffee', 'Sugar', 'Whipped cream']","""Indulge in the rich flavors of Ireland with our velvety Irish Coffee, expertly blending smooth whiskey, bold coffee, and a hint of sugar, topped with a luxurious whipped cream finish."""
Irish Spring,Ordinary Drink,Alcoholic,"['Irish whiskey', 'Peach brandy', 'Orange juice', 'Sweet and sour', 'Orange', 'Cherry']","""Indulge in the Irish Spring, a vibrant blend of Irish whiskey, peach brandy, and citrus, topped with a float of orange and cherry, evoking the warmth of a spring morning."""
Imperial Fizz,Ordinary Drink,Alcoholic,"['Light rum', 'Blended whiskey', 'Lemon', 'Powdered sugar', 'Carbonated water']","""Indulge in the Imperial Fizz, a regal blend of light rum and blended whiskey, elevated by zesty lemon, sweet powdered sugar, and a refreshing splash of carbonated water."""
Irish Russian,Beer,Alcoholic,"['Vodka', 'Kahlua', 'Coca-Cola', 'Guinness stout']","""Indulge in the Irish Russian, a bold twist on the classic Black Russian. Rich Kahlua and vodka blend with the velvety smoothness of Guinness stout, topped with a splash of Coca-Cola for a surprisingly refreshing finish."""
Imperial Cocktail,Cocktail,Alcoholic,"['Lime juice', 'Gin', 'Aperol']","""Indulge in the Imperial Cocktail, a refreshing blend of zesty lime juice, crisp gin, and subtly bitter Aperol, crafting a sophisticated and tangy sip."""
Iced Coffee Fillip,Coffee / Tea,Alcoholic,"['Kahlua', 'Coffee']","""Indulge in the Iced Coffee Fillip, a rich and bold blend of chilled coffee infused with the velvety smoothness of Kahlua, perfect for a sophisticated pick-me-up."""
Irish Curdling Cow,Cocktail,Alcoholic,"['Baileys irish cream', 'Bourbon', 'Vodka', 'Orange juice']","Irish Curdling Cow: A rich, velvety blend of Baileys Irish Cream, Bourbon, and Vodka, swirled with a splash of orange juice, creating a creamy, boozy delight with a hint of citrus surprise."
Jam Donut,Shot,Alcoholic,"['Baileys irish cream', 'Chambord raspberry liqueur', 'Sugar syrup', 'Sugar']","Indulge in the Jam Donut, a sweet and sinful blend of Baileys Irish Cream and Chambord raspberry liqueur, balanced with sugar syrup and a touch of sugar, evoking the warm, fluffy taste of a freshly baked donut."
Jitterbug,Cocktail,Alcoholic,"['Gin', 'Vodka', 'Grenadine', 'Lime juice', 'Sugar', 'Sugar syrup', 'Soda water']","""Introducing the Jitterbug: a lively mix of gin and vodka, swirled with sweet grenadine, zesty lime juice, and a touch of sugar, topped with fizzy soda water for a refreshing twist."""
Jackhammer,Ordinary Drink,Alcoholic,"['Jack Daniels', 'Amaretto']","""Unleash the Jackhammer: a potent mix of Jack Daniel's whiskey and sweet Amaretto, packing a punch that'll knock you off your feet."""
Jelly Bean,Shot,Alcoholic,"['Blackberry brandy', 'Anis']","""Indulge in Jelly Bean, a sweet and sly mix of blackberry brandy and anis, blending fruity charm with a hint of licorice intrigue."""
Jello shots,Shot,Alcoholic,"['Vodka', 'Jello', 'Water']","""Vibrant, wiggly fun in a cup - Jello shots blend vodka, jello, and water for a playful, boozy treat."""
Jamaica Kiss,Shake,Alcoholic,"['Coffee liqueur', 'Light rum', 'Ice', 'Milk']","""Indulge in the Jamaica Kiss, a sultry blend of coffee liqueur, light rum, and creamy milk, chilled to perfection over ice, evoking a romantic Caribbean escape."""
John Collins,Ordinary Drink,Alcoholic,"['Bourbon', 'Lemon juice', 'Sugar', 'Club soda', 'Maraschino cherry', 'Orange']","""Indulge in the John Collins, a classic bourbon cocktail infused with zesty lemon juice, sweetness, and a hint of citrus, topped with a refreshing splash of club soda and garnished with a maraschino cherry."""
Japanese Fizz,Ordinary Drink,Alcoholic,"['Blended whiskey', 'Lemon', 'Powdered sugar', 'Port', 'Egg white', 'Carbonated water']","Japanese Fizz: A silky, citrusy blend of blended whiskey, port, and lemon, smoothed by powdered sugar and egg white, topped with a refreshing fizz of carbonated water."
Jamaican Coffee,Coffee / Tea,Alcoholic,"['Rum', 'Coffee', 'Water', 'Whipped cream']","""Indulge in the Jamaican Coffee, a rich and creamy blend of dark rum, bold coffee, and velvety whipped cream, perfect for warming up on a chilly night."""
Just a Moonmint,Shake,Non alcoholic,"['Milk', 'Chocolate syrup', 'Mint syrup']","Indulge in 'Just a Moonmint', a creamy non-alcoholic delight blending rich chocolate and refreshing mint syrups with velvety milk, perfect for a soothing treat."
Jewel Of The Nile,Ordinary Drink,Alcoholic,"['Gin', 'Green Chartreuse', 'Yellow Chartreuse']","""Unveil the Jewel Of The Nile, a luxurious blend of gin, Green Chartreuse, and Yellow Chartreuse, crafting a rich, herbal symphony that transports you to ancient Egyptian nights."""
Jack Rose Cocktail,Ordinary Drink,Alcoholic,"['Apple brandy', 'Grenadine', 'Lime']","""Indulge in the Jack Rose, a classic cocktail blending rich apple brandy, sweet grenadine, and a squeeze of fresh lime, creating a tangy and sophisticated sip."""
Jack's Vanilla Coke,Other / Unknown,Alcoholic,"['Ice', 'Tennessee whiskey', 'Vanilla extract', 'Coca-Cola']","""Indulge in Jack's Vanilla Coke, a smooth twist on a classic. Rich Tennessee whiskey, velvety vanilla extract, and crisp Coca-Cola blend together over ice, creating a deliciously decadent treat."""
Kir,Ordinary Drink,Alcoholic,"['Creme de Cassis', 'Champagne']","""Indulge in Kir, a luxurious French cocktail blending rich Creme de Cassis with effervescent Champagne, creating a sweet and sophisticated sip."""
Karsk,Ordinary Drink,Alcoholic,"['Coffee', 'Grain alcohol']","""Karsk: A bold, Scandinavian shot that combines the richness of coffee with the potency of grain alcohol, guaranteed to awaken your senses."""
Kamikaze,Ordinary Drink,Alcoholic,"['Vodka', 'Triple sec', 'Lime juice']","""Experience the bold Kamikaze, a potent mix of vodka, triple sec, and lime juice, combining citrus zing with a daring kick."""
Kir Royale,Ordinary Drink,Alcoholic,"['Creme de Cassis', 'Champagne']","Indulge in the luxurious Kir Royale, a French delight blending rich Creme de Cassis with effervescent Champagne, creating a sweet and sophisticated sip."
Kiwi Lemon,Ordinary Drink,Alcoholic,"['Kiwi liqueur', 'Bitter lemon', 'Ice']","""Kiwi Lemon: A refreshing twist on citrus, blending sweet kiwi liqueur with tangy bitter lemon, served chilled over ice for a zesty kick."""
Kurant Tea,Coffee / Tea,Alcoholic,"['Absolut Kurant', 'Tea', 'Sugar']","""Indulge in Kurant Tea, a sweet and tangy blend of Absolut Kurant vodka, soothing tea, and a hint of sugar, perfect for a warm and cozy nightcap."""
Kioki Coffee,Coffee / Tea,Alcoholic,"['Kahlua', 'Brandy', 'Coffee']","""Indulge in Kioki Coffee, a rich and bold blend of Kahlua, Brandy, and freshly brewed coffee, perfect for a sophisticated nightcap."""
Kiwi Martini,Cocktail,Alcoholic,"['Kiwi', 'Sugar Syrup', 'Vodka', 'Kiwi']","""Indulge in the Kiwi Martini, a sweet and tangy blend of fresh kiwi, sugar syrup, and crisp vodka, doubled down with an extra dose of kiwi for an unforgettable twist."""
Kiss me Quick,Ordinary Drink,Alcoholic,"['Cranberry vodka', 'Apfelkorn', 'Schweppes Russchian', 'Apple juice', 'Ice']","""Indulge in the tantalizing 'Kiss me Quick', a sultry blend of cranberry vodka, Apfelkorn, and apple juice, topped with a splash of Schweppes Russchian, served chilled over ice, guaranteed to leave you breathless."""
Kool-Aid Shot,Shot,Alcoholic,"['Vodka', 'Amaretto', 'Sloe gin', 'Triple sec', 'Cranberry juice']","""Electric twist on a childhood classic, the Kool-Aid Shot combines vodka, amaretto, sloe gin, and triple sec with a splash of cranberry juice, creating a bold, fruity, and surprisingly potent blast of flavor."""
Kool First Aid,Shot,Alcoholic,"['151 proof rum', 'Kool-Aid']","""Kool First Aid: A potent remedy of 151 proof rum mixed with sweet Kool-Aid, administering a bold and fruity kick."""
Kentucky B And B,Ordinary Drink,Alcoholic,"['Bourbon', 'Benedictine']","""Kentucky B And B: A rich, velvety blend of bourbon and Benedictine, combining the smooth warmth of Kentucky's finest with the subtle sweetness of French liqueur, perfect for sipping on a chilly evening."""
Kentucky Colonel,Ordinary Drink,Alcoholic,"['Bourbon', 'Benedictine', 'Lemon peel']","""Indulge in the Kentucky Colonel, a refined blend of rich Bourbon, sweet Benedictine, and a hint of citrusy lemon peel, evoking the warmth and sophistication of the Bluegrass State."""
Kool-Aid Slammer,Shot,Alcoholic,"['Kool-Aid', 'Vodka']","""Electric twist on a childhood classic, the Kool-Aid Slammer combines fruity Kool-Aid with a kick of vodka for a sweet and sassy shot."""
Kiwi Papaya Smoothie,Other / Unknown,Non alcoholic,"['Kiwi', 'Papaya']","""Indulge in the tropical bliss of our Kiwi Papaya Smoothie, blending the sweet zest of papaya with the tangy twist of kiwi, creating a refreshing and fruity escape."""
Kill the cold Smoothie,Other / Unknown,Non alcoholic,"['Ginger', 'Lemon', 'Water']","""Kickstart your day with Kill the Cold Smoothie, a refreshing blend of invigorating ginger, zesty lemon, and hydrating water, designed to soothe and revitalize your senses."""
Limeade,Other / Unknown,Non alcoholic,"['Lime', 'Sugar', 'Soda water', 'Lime peel']","""Refresh with our zesty Limeade, a classic blend of tangy lime, sweet sugar, and fizzy soda water, garnished with a twist of citrusy lime peel."""
Lunch Box,Beer,Alcoholic,"['Beer', 'Amaretto', 'Orange juice']","Lunch Box: A refreshing twist on happy hour, blending crisp beer, sweet amaretto, and tangy orange juice for a delightful pick-me-up."
Lemon Drop,Cocktail,Alcoholic,"['Vodka', 'Cointreau', 'Lemon']","""Zesty and refreshing, the Lemon Drop combines vodka, Cointreau, and a squeeze of lemon for a tangy, citrusy twist on a classic cocktail."""
Lemon Shot,Shot,Alcoholic,"['Galliano', 'Absolut Citron', 'Lemon', 'Sugar', '151 proof rum']",""" Ignite your senses with the Lemon Shot, a zesty fusion of Galliano, Absolut Citron, and 151 proof rum, balanced by a hint of sugar and a squeeze of fresh lemon, guaranteed to leave a lasting impression."""
Long vodka,Ordinary Drink,Alcoholic,"['Vodka', 'Lime', 'Angostura bitters', 'Tonic water', 'Ice']","""Long Vodka: A refreshing twist on the classic, combining crisp vodka, zesty lime, and a hint of bitter Angostura, topped with tonic water and served chilled over ice."""
Lassi Khara,Other / Unknown,Non alcoholic,"['Yoghurt', 'Water', 'Salt', 'Asafoetida']","Lassi Khara: A refreshing, savory twist on traditional lassi, blending yoghurt, water, and a hint of salt, with a subtle kick of asafoetida, perfect for a spicy thirst quencher."
Lassi Raita,Other / Unknown,Non alcoholic,"['Yoghurt', 'Ice', 'Sugar', 'Lime', 'Salt']","Lassi Raita: A refreshing blend of yoghurt, ice, and sugar, zested with lime and a hint of salt, creating a cool and creamy non-alcoholic treat."
Lemouroudji,Other / Unknown,Non alcoholic,"['Ginger', 'Water', 'Lemon', 'Sugar', 'Cayenne pepper']","Lemouroudji: A zesty, spicy twist on traditional lemonade, infused with the warmth of ginger and a hint of cayenne pepper, perfectly balanced with sweet and tangy notes."
Loch Lomond,Ordinary Drink,Alcoholic,"['Scotch', 'Drambuie', 'Dry Vermouth', 'Lemon peel']","""Indulge in the mystical Loch Lomond, a refined blend of smoky Scotch, sweet Drambuie, and crisp Dry Vermouth, garnished with a hint of citrusy lemon peel, evoking the rugged beauty of Scotland's iconic loch."""
London Town,Ordinary Drink,Alcoholic,"['Gin', 'Maraschino liqueur', 'Orange bitters']","""London Town: A classic blend of gin, maraschino liqueur, and orange bitters, evoking the sophisticated charm of England's vibrant capital city in every sip."""
Lassi - Mango,Other / Unknown,Non alcoholic,"['Mango', 'Yoghurt', 'Sugar', 'Water']","""Indulge in the sweet and creamy Lassi - Mango, a refreshing blend of ripe mango, smooth yoghurt, and a touch of sugar, perfectly balanced with water to quench your thirst."""
Lassi - Sweet,Other / Unknown,Non alcoholic,"['Yoghurt', 'Water', 'Sugar', 'Salt', 'Lemon juice']","Indulge in our Lassi - Sweet, a refreshing blend of creamy yoghurt, hint of lemon, and touch of sweetness, perfectly balanced to quench your thirst."
Limona Corona,Beer,Alcoholic,"['Corona', 'Bacardi Limon']","""Limona Corona: A refreshing twist on a classic, combining the crispness of Corona beer with the zesty kick of Bacardi Limon, perfect for warm nights and good times."""
Lord And Lady,Ordinary Drink,Alcoholic,"['Dark rum', 'Tia maria']","""Indulge in the regal Lord and Lady, a rich blend of dark rum and Tia Maria, perfect for those who crave a sophisticated and mysterious nightcap."""
